fips,year,Arsenic,DEHP,Halo-Acetic Acid,Nitrates,Trihalomethane,Uranium,total_med,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,other,public_admin
34005,2006,0.6384244462997807,,6.690689165812465,574.1419345550277,14.809041898602331,4.019990568091127,,,,,,,,,,,,,,,
34005,2007,0.5670869349777019,,5.269887866516081,624.0532509392654,13.329460160093502,2.0873307969151664,,,,,,,,,,,,,,,
34005,2008,0.8146316294399083,,4.551618311904699,665.128037901111,12.736686126841088,0.6514791627905074,,,,,,,,,,,,,,,
34005,2009,0.6730108576474567,1.1,5.401789309116383,537.5525284794996,12.285688219494457,2.148186462427683,,,,,,,,,,,,,,,
34005,2010,0.47824902522118734,0.07,5.049168401146541,777.0193794062343,12.493512758772027,23.8556235783929,44557.0,218844.0,882.0,11393.0,18488.0,7951.0,24035.0,11788.0,4439.0,18360.0,25635.0,53075.0,13912.0,10274.0,18612.0
34005,2011,0.5340168293966482,,5.474768681709753,696.6502567082885,12.22514835985062,9.28069544442883,45319.0,220876.0,1881.0,11687.0,17483.0,9051.0,25856.0,9632.0,4699.0,18040.0,28120.0,51754.0,15477.0,9985.0,17211.0
34005,2012,0.4707701616063451,,5.666750707099397,769.1167568197556,16.96120182383462,,45958.0,214751.0,498.0,10478.0,14932.0,6835.0,24684.0,12730.0,4739.0,17598.0,23656.0,55963.0,16828.0,8908.0,16902.0
34005,2013,0.519333845044542,,6.052406269425149,483.7366386370322,16.017563190859708,0.49998174793182737,46460.0,223347.0,952.0,11210.0,16384.0,7910.0,27792.0,11718.0,3853.0,18551.0,25111.0,58897.0,14989.0,9044.0,16936.0
34005,2014,0.4517261703483737,,7.1762955306611556,543.9138266994134,17.166242499168217,0.5,46568.0,221874.0,841.0,10232.0,17312.0,8365.0,24201.0,11549.0,5638.0,17617.0,25869.0,57055.0,15883.0,10276.0,17036.0
34005,2015,0.4553050985114316,,5.520492092427618,552.8592449491758,16.040184642364178,0.49501493245782324,45917.0,219598.0,1422.0,10567.0,17343.0,8169.0,25289.0,11152.0,5475.0,18443.0,28295.0,55536.0,16508.0,7251.0,14148.0
34005,2016,0.4332231818717972,,5.632756820009746,464.5206310062972,17.52333576658333,0.5229423706882127,46637.0,225346.0,751.0,13072.0,16174.0,7516.0,27905.0,13220.0,5817.0,17919.0,29926.0,56437.0,14069.0,7213.0,15327.0
34007,1999,1.0048006227834962,,,1199.1497532688393,2.388594011577665,,,,,,,,,,,,,,,,
34007,2000,1.6992639560260252,0.07,,1352.8633355831253,2.2757286599636766,,,,,,,,,,,,,,,,
34007,2001,2.2754081632653063,0.3,,1186.5282099757817,3.221989964238236,,,,,,,,,,,,,,,,
34007,2002,1.5464676189975024,,,1432.7721182338541,3.474238873598083,,,,,,,,,,,,,,,,
34007,2003,0.9847336488764359,,,1240.0258308689677,4.270370611694658,,,,,,,,,,,,,,,,
34007,2004,1.0,,1.733290550248061,1656.6330098344615,5.022389375099288,2.0,,,,,,,,,,,,,,,
34007,2005,1.6595626113436712,,2.5867230741489875,1701.6830637891908,8.048884689269766,6.3247568820393,,,,,,,,,,,,,,,
34007,2006,1.3011389599463616,,2.659501996829935,1315.2504386252158,7.039687516210355,6.8270886568015134,,,,,,,,,,,,,,,
34007,2007,1.0,,3.4714588109984885,1252.1411459751612,11.976838366756926,5.185720787081449,,,,,,,,,,,,,,,
34007,2008,1.4304400229931948,,3.7370968689851747,1269.8389237222993,11.918734889378849,2.8144278729509713,,,,,,,,,,,,,,,
34007,2009,1.2067172215740825,,4.3575157017689525,1237.9456483897543,13.688906392805565,4.392013190510573,,,,,,,,,,,,,,,
34007,2010,0.9644922089560869,0.22,5.679855431108059,1502.7215100427077,17.26879877928658,4.540277256186789,38080.0,238746.0,473.0,12733.0,16372.0,7763.0,28212.0,13560.0,4424.0,16998.0,28238.0,68154.0,19928.0,11225.0,10666.0
34007,2011,0.9256187159467507,,4.133835834203051,1216.6942652984546,17.557859112680827,2.882080907627809,38690.0,233700.0,682.0,13234.0,18998.0,7211.0,28587.0,11473.0,4816.0,18037.0,25834.0,61712.0,20051.0,11067.0,11998.0
34007,2012,1.1873295576382144,,4.529461201385098,1139.8359144222038,15.818293372407261,,39439.0,236324.0,268.0,12309.0,18047.0,7636.0,29608.0,14462.0,6365.0,17632.0,28449.0,61305.0,18628.0,11304.0,10311.0
34007,2013,0.540402879000498,,4.496934124949026,1264.7619958874225,14.834761340309504,0.46596094359804574,39462.0,240289.0,578.0,11941.0,17049.0,6947.0,33438.0,11840.0,4241.0,19231.0,26699.0,67227.0,21395.0,8539.0,11164.0
34007,2014,0.47950888559163657,,3.8577204479295792,1241.0687052339665,15.474063017953396,0.5,38990.0,246823.0,278.0,14242.0,17256.0,8629.0,27790.0,17005.0,4742.0,16691.0,29284.0,65650.0,23523.0,10873.0,10860.0
34007,2015,0.424700938955566,,4.506721615577853,1145.9624222614648,16.10349699420622,0.5,39302.0,248104.0,279.0,12647.0,17502.0,7504.0,26774.0,13947.0,4222.0,18676.0,31260.0,69729.0,22581.0,12035.0,10948.0
34007,2016,0.4278266235674405,,4.519100626301739,1138.4201552275822,13.732292198363107,0.5,39518.0,252902.0,231.0,13365.0,17882.0,7725.0,33426.0,14489.0,4841.0,18822.0,31223.0,64819.0,23208.0,10725.0,12146.0
34009,1999,0.7705246315578945,,,188.75256817837757,17.3018520329234,,,,,,,,,,,,,,,,
34009,2000,0.6692497007965736,,,256.5150677631788,16.078405083570896,,,,,,,,,,,,,,,,
34009,2001,1.0,,,176.00440381231988,19.649565308714582,,,,,,,,,,,,,,,,
34009,2002,0.8006331838315953,,4.99,190.16419845385423,18.48279098443701,,,,,,,,,,,,,,,,
34009,2003,0.6865611964309096,,4.07,179.48319179335698,21.861608266325327,,,,,,,,,,,,,,,,
34009,2004,1.0,,3.584162801410192,176.62730169687435,15.542153172819226,,,,,,,,,,,,,,,,
